number,value,datetime_start,datetime_complete,duration,params_factors,params_iterations,params_regularization,state
0,0.22511103806091576,2025-10-02 21:49:31.529937,2025-10-02 21:56:01.692637,0 days 00:06:30.162700,116,76,0.07969454818643935,COMPLETE
1,0.21256765094986824,2025-10-02 21:56:01.692637,2025-10-02 21:59:09.267284,0 days 00:03:07.574647,166,24,0.0020513382630874496,COMPLETE
2,0.16904184711477266,2025-10-02 21:59:09.267284,2025-10-02 22:03:01.004116,0 days 00:03:51.736832,45,64,0.05399484409787434,COMPLETE
3,0.22654670179972158,2025-10-02 22:03:01.004116,2025-10-02 22:16:07.308492,0 days 00:13:06.304376,191,98,0.0010994335574766201,COMPLETE
4,0.22698957611296144,2025-10-02 22:16:07.308492,2025-10-02 22:20:45.950294,0 days 00:04:38.641802,219,26,0.0026587543983272706,COMPLETE
5,0.19429820510285034,2025-10-02 22:20:45.953629,2025-10-02 22:24:45.120309,0 days 00:03:59.166680,73,57,0.0040596116104843075,COMPLETE
6,0.21249912403755866,2025-10-02 22:24:45.120309,2025-10-02 22:30:33.746038,0 days 00:05:48.625729,129,65,0.0038234752246751854,COMPLETE
7,0.1817157071730887,2025-10-02 22:30:33.746038,2025-10-02 22:33:57.248428,0 days 00:03:23.502390,63,43,0.00383962929980417,COMPLETE
8,0.21988305041559653,2025-10-02 22:33:57.248428,2025-10-02 22:36:55.302773,0 days 00:02:58.054345,134,28,0.037183641805732096,COMPLETE
9,0.21877731969449912,2025-10-02 22:36:55.302773,2025-10-02 22:38:58.353756,0 days 00:02:03.050983,147,14,0.015304852121831466,COMPLETE
10,0.2381480124355228,2025-10-02 22:38:58.353756,2025-10-02 22:45:48.344929,0 days 00:06:49.991173,252,38,0.013112992007873693,COMPLETE
11,0.24676960426855943,2025-10-02 22:45:48.344929,2025-10-02 22:52:58.439676,0 days 00:07:10.094747,246,40,0.012719398900890844,COMPLETE
12,0.24514732038460585,2025-10-02 22:52:58.439676,2025-10-02 23:00:31.294216,0 days 00:07:32.854540,253,40,0.014308584816174684,COMPLETE
13,0.23277603468830427,2025-10-02 23:00:31.294216,2025-10-02 23:08:08.553683,0 days 00:07:37.259467,256,45,0.02277346302505518,COMPLETE
14,0.23249624799433122,2025-10-02 23:08:08.554685,2025-10-02 23:15:43.799159,0 days 00:07:35.244474,218,48,0.007391158974631252,COMPLETE
15,0.22858810457395487,2025-10-02 23:15:43.799159,2025-10-02 23:18:04.482469,0 days 00:02:20.683310,220,11,0.007148659495423887,COMPLETE
16,0.23456717487064765,2025-10-02 23:18:04.482469,2025-10-02 23:23:09.868889,0 days 00:05:05.386420,189,35,0.024424829103425433,COMPLETE
17,0.2312029326895045,2025-10-02 23:23:09.868889,2025-10-02 23:36:03.864521,0 days 00:12:53.995632,241,81,0.008925115421858998,COMPLETE
18,0.23492316553347423,2025-10-02 23:36:03.864521,2025-10-02 23:43:22.993379,0 days 00:07:19.128858,189,54,0.020684905637800174,COMPLETE
19,0.23628294674140282,2025-10-02 23:43:23.000036,2025-10-02 23:48:41.874068,0 days 00:05:18.874032,220,33,0.04338831189862337,COMPLETE
20,0.20488974760986542,2025-10-02 23:48:41.875812,2025-10-02 23:50:31.487692,0 days 00:01:49.611880,99,19,0.013085002157215881,COMPLETE
21,0.2402601418880423,2025-10-02 23:50:31.487692,2025-10-02 23:57:09.544047,0 days 00:06:38.056355,256,38,0.01147788100167818,COMPLETE
22,0.2416795332176885,2025-10-02 23:57:09.544047,2025-10-03 00:05:11.050847,0 days 00:08:01.506800,236,52,0.005408210108699053,COMPLETE
23,0.2292658859684743,2025-10-03 00:05:11.050847,2025-10-03 00:13:17.348745,0 days 00:08:06.297898,229,53,0.005432939259107545,COMPLETE
24,0.24401687305027947,2025-10-03 00:13:17.348745,2025-10-03 00:22:53.374413,0 days 00:09:36.025668,237,60,0.005887566238745403,COMPLETE
25,0.2270152722041698,2025-10-03 00:22:53.374413,2025-10-03 00:31:22.317285,0 days 00:08:28.942872,202,63,0.017482937437039065,COMPLETE
26,0.22323477735433012,2025-10-03 00:31:22.317285,2025-10-03 00:39:08.511695,0 days 00:07:46.194410,166,71,0.032676424565283184,COMPLETE
27,0.22051760765838677,2025-10-03 00:39:08.511695,2025-10-03 00:52:16.831997,0 days 00:13:08.320302,206,98,0.0095468824055571,COMPLETE
28,0.2304376491920314,2025-10-03 00:52:16.831997,2025-10-03 01:06:07.781427,0 days 00:13:50.949430,239,86,0.0019390998705622426,COMPLETE
29,0.22774196527720267,2025-10-03 01:06:07.781427,2025-10-03 01:14:16.967743,0 days 00:08:09.186316,172,73,0.006052467833230561,COMPLETE
30,0.2104375423596079,2025-10-03 01:14:16.967743,2025-10-03 01:17:40.643442,0 days 00:03:23.675699,101,42,0.07699636651815968,COMPLETE
31,0.23269334696950522,2025-10-03 01:17:40.643442,2025-10-03 01:25:50.485757,0 days 00:08:09.842315,237,50,0.005139906202222675,COMPLETE
32,0.24515227789233826,2025-10-03 01:25:50.485757,2025-10-03 01:34:36.046316,0 days 00:08:45.560559,240,56,0.0026729860289285614,COMPLETE
33,0.22369224981264116,2025-10-03 01:34:36.046316,2025-10-03 01:42:41.100431,0 days 00:08:05.054115,206,58,0.0021811086423273863,COMPLETE
34,0.2321468656183487,2025-10-03 01:42:41.100431,2025-10-03 01:53:30.084911,0 days 00:10:48.984480,247,62,0.0013612339692481564,COMPLETE
35,0.23134751757103317,2025-10-03 01:53:30.098247,2025-10-03 01:58:28.898195,0 days 00:04:58.799948,229,30,0.003017786788212992,COMPLETE
36,0.22361136432987258,2025-10-03 01:58:28.898195,2025-10-03 02:06:55.423975,0 days 00:08:26.525780,178,69,0.0015147749198726186,COMPLETE
37,0.23146816981682963,2025-10-03 02:06:55.423975,2025-10-03 02:15:33.541892,0 days 00:08:38.117917,211,59,0.002968591484522107,COMPLETE
38,0.235915926227364,2025-10-03 02:15:33.541892,2025-10-03 02:19:21.251219,0 days 00:03:47.709327,229,21,0.00836664409900134,COMPLETE
39,0.23580046991829232,2025-10-03 02:19:21.251219,2025-10-03 02:25:20.307296,0 days 00:05:59.056077,197,45,0.004319266935952997,COMPLETE
40,0.23754365714052078,2025-10-03 02:25:20.320326,2025-10-03 02:38:03.126492,0 days 00:12:42.806166,246,77,0.03045117970599456,COMPLETE
41,0.22569044683368172,2025-10-03 02:38:03.126492,2025-10-03 02:45:54.336716,0 days 00:07:51.210224,233,50,0.006431873710461322,COMPLETE
42,0.2342235548985571,2025-10-03 02:45:54.336716,2025-10-03 02:53:03.720935,0 days 00:07:09.384219,246,40,0.011015028818518686,COMPLETE
43,0.21544757193056915,2025-10-03 02:53:03.720935,2025-10-03 03:00:27.909259,0 days 00:07:24.188324,153,66,0.0046263528655550055,COMPLETE
44,0.23201417967779872,2025-10-03 03:00:27.909259,2025-10-03 03:08:09.796976,0 days 00:07:41.887717,216,54,0.0034247010902394275,COMPLETE
45,0.2383458897510633,2025-10-03 03:08:09.796976,2025-10-03 03:16:58.586463,0 days 00:08:48.789487,255,46,0.015829576337578484,COMPLETE
46,0.1740522030969678,2025-10-03 03:16:58.586463,2025-10-03 03:19:09.987183,0 days 00:02:11.400720,45,33,0.0018714467267577125,COMPLETE
47,0.23782277867954485,2025-10-03 03:19:09.987183,2025-10-03 03:26:37.734250,0 days 00:07:27.747067,225,50,0.007675671815231678,COMPLETE
48,0.24815980233120757,2025-10-03 03:26:37.734250,2025-10-03 03:36:28.767684,0 days 00:09:51.033434,243,58,0.002320871648621119,COMPLETE
49,0.2408323412246652,2025-10-03 03:36:28.767684,2025-10-03 03:46:23.682598,0 days 00:09:54.914914,242,60,0.002709138245489866,COMPLETE
